Registro,Ticket,Origen,Hora,Descripción,PC,Hora Inicio,Hora Fin,Tiempo Total,Internet,Extras,Cobrar,Cobrado,Com.,Vta Directa,Nota
219,,190328.log,18:40:54,Impresión,,,,,,,,,0,,id:94 Inicio:18:40:51 Demora:00:00:03 Estado:Finalizado Doc:Microsoft·Word·-·Documento2 Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:65536
220,,190328.log,19:01:47,Impresión,,,,,,,,,0,,id:95 Inicio:19:01:27 Demora:00:00:20 Estado:Finalizado Doc:Microsoft·Word·-·Documento3 Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:1164396
221,,190328.log,19:12:51,Impresión,,,,,,,,,0,,id:96 Inicio:19:12:29 Demora:00:00:22 Estado:Finalizado Doc:Microsoft·Word·-·Documento3 Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:1114112
222,,190328.log,19:20:59,Impresión,,,,,,,,,0,,id:97 Inicio:19:20:54 Demora:00:00:05 Estado:Finalizado Doc:Microsoft·Word·-·Documento3 Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:458752
223,476,190328.log,19:32:04,Cobro de PC,9,18:41:29,19:32:04,0:50:30,8.5,0,8.5,8.5,0,, 
224,,190328.log,19:38:24,Impresión,,,,,,,,,0,,id:98 Inicio:19:37:23 Demora:00:01:01 Estado:Finalizado Doc:Microsoft·Word·-·Documento3 Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:3 Total Hojas:3 Tamaño:14155844
225,,190328.log,19:49:40,Impresión,,,,,,,,,0,,id:99 Inicio:19:49:17 Demora:00:00:23 Estado:Finalizado Doc:Laboratorios·Exakta·-·Zona·de·Resultados Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:2 Total Hojas:2 Tamaño:4980736
226,477,190328.log,19:54:46,Cobro de PC,2,19:08:09,19:54:46,0:46:24,7.5,0,7.5,7.5,0,, 
227,478,190328.log,19:54:56,Cobro de PC,1,19:08:06,19:54:56,0:46:41,8,0,8,8,0,, 
228,,190328.log,20:14:27,Cierre del Servidor,,,,,,,,,0,,
229,,190328.log,20:14:27,Cierre del Servidor,,,,,,,,,0,,
230,,190329.log,16:07:24,Arranque del Servidor,,,,,,,,,0,, 1.647b
231,479,190329.log,16:08:07,Cobro de PC,7,16:07:56,16:08:07,0:00:07,3,0,3,3,0,, 
232,480,190329.log,16:39:03,Cobro de PC,6,16:08:32,16:39:03,0:30:00,5,0,5,5,0,, 
233,481,190329.log,20:23:41,Cobro de PC,1,19:56:13,20:23:41,0:27:26,4.5,0,4.5,4.5,0,, 
234,482,190329.log,20:23:45,Cobro de PC,2,19:56:18,20:23:45,0:27:25,4.5,0,4.5,4.5,0,, 
235,,190329.log,20:23:48,Cierre del Servidor,,,,,,,,,0,,
236,,190329.log,20:23:48,Cierre del Servidor,,,,,,,,,0,,
237,,190330.log,11:27:23,Arranque del Servidor,,,,,,,,,0,, 1.647b
238,,190330.log,11:29:49,Cierre del Servidor,,,,,,,,,0,,
239,,190330.log,14:53:06,Arranque del Servidor,,,,,,,,,0,, 1.647b
240,,190330.log,15:32:28,Impresión,,,,,,,,,0,,id:103 Inicio:15:29:47 Demora:00:02:41 Estado:Finalizado Doc:Microsoft·Word·-·Documento2 Imp:EPSON·Color Usuario:Invitado PC:\\192.168.80.50 Hojas Impresas:6 Total Hojas:6 Tamaño:1738456
241,,190330.log,15:32:39,Impresión,,,,,,,,,0,,id:104 Inicio:15:30:23 Demora:00:02:16 Estado:Finalizado Doc:Microsoft·Word·-·Documento2 Imp:EPSON·Color Usuario:Invitado PC:\\192.168.80.50 Hojas Impresas:5 Total Hojas:6 Tamaño:1738456
242,483,190330.log,15:34:05,Venta de Extra,1,,,,,6,,,0,,1  Varios
243,483,190330.log,15:34:05,Cobro de PC,1,14:53:16,15:34:05,0:40:13,6.5,6,12.5,12.5,0,, 
244,484,190330.log,16:23:06,Cobro de PC,9,15:52:57,16:23:06,0:30:00,5,0,5,5,0,, 
245,485,190330.log,16:52:05,Cobro de PC,9,16:23:07,16:52:05,0:28:54,5,0,5,5,0,, 
246,486,190330.log,18:02:31,Cobro de PC,6,17:52:16,18:02:31,0:10:13,3,0,3,3,0,, 
247,487,190330.log,18:14:06,Cobro de PC,8,17:10:29,18:14:06,1:03:35,10.5,0,10.5,10.5,0,, 
248,488,190330.log,19:00:22,Cobro de PC,8,18:25:06,19:00:22,0:35:12,6,0,6,6,0,, 
249,489,190330.log,19:00:50,Cobro de PC,6,18:02:33,19:00:50,0:58:03,9.5,0,9.5,9.5,0,, 
250,,190330.log,19:37:33,Impresión,,,,,,,,,0,,id:105 Inicio:19:36:41 Demora:00:00:52 Estado:Finalizado Doc:CURP_COGA010114HPLRTLA6.pdf Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:3222208
251,,190330.log,19:37:43,Impresión,,,,,,,,,0,,id:106 Inicio:19:37:09 Demora:00:00:34 Estado:Finalizado Doc:CURP_COGA010114HPLRTLA6.pdf Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:3222184
252,,190330.log,20:11:42,Cierre del Servidor,,,,,,,,,0,,
253,,190330.log,20:11:42,Cierre del Servidor,,,,,,,,,0,,
254,,190331.log,14:29:04,Arranque del Servidor,,,,,,,,,0,, 1.647b
255,,190331.log,14:29:04,Arranque del Servidor,,,,,,,,,0,, 1.647b
256,490,190331.log,14:38:22,Cobro de PC,9,14:29:18,14:38:22,0:09:02,3,0,3,3,0,, 
257,491,190331.log,14:59:00,Cobro de PC,8,14:38:15,14:59:00,0:20:42,3.5,0,3.5,3.5,0,, 
258,492,190331.log,15:17:21,Cobro de PC,6,14:41:11,15:17:21,0:27:00,4.5,0,4.5,4.5,0,, 
259,,190331.log,15:17:24,Cierre del Servidor,,,,,,,,,0,,
260,,190331.log,15:17:24,Cierre del Servidor,,,,,,,,,0,,
261,,190331.log,15:17:49,Arranque del Servidor,,,,,,,,,0,, 1.647b
262,493,190331.log,16:35:02,Cobro de PC,9,16:08:30,16:35:02,0:26:29,4.5,0,4.5,4.5,0,, 
263,494,190331.log,16:35:19,Cobro de PC,8,15:17:55,16:35:19,1:17:22,13,0,13,13,0,, 
264,,190331.log,18:15:01,Impresión,,,,,,,,,0,,id:107 Inicio:18:14:20 Demora:00:00:41 Estado:Finalizado Doc:Microsoft·Word·-·Documento1 Imp:EPSON·Color Usuario:Invitado PC:\\192.168.80.50 Hojas Impresas:2 Total Hojas:1 Tamaño:2214764
265,495,190331.log,18:17:08,Venta de Extra,1,,,,,6,,,0,,1  Varios
266,495,190331.log,18:17:08,Cobro de PC,1,17:55:22,18:17:08,0:21:05,3.5,6,9.5,9.5,0,, 
267,,190331.log,18:50:05,Impresión,,,,,,,,,0,,id:108 Inicio:18:49:44 Demora:00:00:21 Estado:Finalizado Doc:Microsoft·Word·-·reporte-5.docx Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:111668
268,,190331.log,18:50:52,Impresión,,,,,,,,,0,,id:109 Inicio:18:50:40 Demora:00:00:12 Estado:Finalizado Doc:reporte-5.5.xlsx Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:589824
269,,190331.log,18:51:47,Impresión,,,,,,,,,0,,id:110 Inicio:18:51:43 Demora:00:00:04 Estado:Finalizado Doc:bitacoras·jere.xlsx Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:40100
270,,190331.log,18:52:57,Impresión,,,,,,,,,0,,id:111 Inicio:18:52:49 Demora:00:00:08 Estado:Finalizado Doc:bitacoras·jere.xlsx Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:27480
271,,190331.log,18:53:40,Impresión,,,,,,,,,0,,id:112 Inicio:18:53:35 Demora:00:00:05 Estado:Finalizado Doc:BITACORAS·OSCAR.xlsx Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:84
272,,190331.log,18:54:37,Impresión,,,,,,,,,0,,id:113 Inicio:18:54:30 Demora:00:00:07 Estado:Finalizado Doc:BITACORAS·OSCAR.xlsx Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:28740
273,496,190331.log,19:48:57,Venta Directa,,,,,,,,,0,6,6  Impresion B/N
274,,190331.log,21:35:38,Cierre del Servidor,,,,,,,,,0,,
275,,190331.log,21:35:38,Cierre del Servidor,,,,,,,,,0,,
276,,190401.log,17:25:38,Arranque del Servidor,,,,,,,,,0,, 1.647b
277,,190401.log,17:45:07,Impresión,,,,,,,,,0,,id:114 Inicio:17:44:48 Demora:00:00:19 Estado:Finalizado Doc:Microsoft·Word·-·Documento1 Imp:EPSON·Color Usuario:Invitado PC:\\192.168.80.50 Hojas Impresas:3 Total Hojas:2 Tamaño:567190
278,497,190401.log,17:49:41,Venta de Extra,1,,,,,3,,,0,,1  Varios
279,497,190401.log,17:49:41,Cobro de PC,1,17:25:44,17:49:41,0:23:30,4,3,7,7,0,, 
280,,190401.log,19:10:40,Impresión,,,,,,,,,0,,id:115 Inicio:19:09:55 Demora:00:00:45 Estado:Finalizado Doc:Microsoft·Word·-·Documento1 Imp:EPSON·Color Usuario:Invitado PC:\\192.168.80.50 Hojas Impresas:1 Total Hojas:1 Tamaño:604782
281,,190401.log,19:20:22,Impresión,,,,,,,,,0,,id:116 Inicio:19:20:09 Demora:00:00:13 Estado:Finalizado Doc:Microsoft·Word·-·fotos·de·octavio·paz.docx Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:2883584
282,,190401.log,19:33:42,Impresión,,,,,,,,,0,,id:117 Inicio:19:31:56 Demora:00:01:46 Estado:Finalizado Doc:Microsoft·Word·-·Documento1 Imp:EPSON·Color Usuario:Invitado PC:\\192.168.80.50 Hojas Impresas:5 Total Hojas:3 Tamaño:4021376
283,498,190401.log,19:34:53,Venta de Extra,1,,,,,16,,,0,,1  Varios
284,498,190401.log,19:34:53,Cobro de PC,1,18:23:28,19:34:53,1:11:13,12,16,28,28,0,, 
285,499,190401.log,19:50:08,Venta de Extra,2,,,,,3,,,0,,1  Varios
286,499,190401.log,19:50:08,Cobro de PC,2,19:00:45,19:50:08,0:49:15,8,3,11,11,0,, 
287,,190401.log,20:11:55,Cierre del Servidor,,,,,,,,,0,,
288,,190401.log,20:11:55,Cierre del Servidor,,,,,,,,,0,,
289,,190402.log,16:24:43,Arranque del Servidor,,,,,,,,,0,, 1.647b
290,500,190402.log,17:05:43,Venta de Extra,9,,,,,0.3,,,0,,1  Varios
291,500,190402.log,17:05:43,Cobro de PC,9,16:25:05,17:05:43,0:40:37,7,0.3,7.3,7.3,0,, 
292,501,190402.log,17:13:41,Cobro de PC,6,16:33:19,17:13:41,0:40:00,6.5,0,6.5,6.5,0,, 
293,,190402.log,18:44:00,Impresión,,,,,,,,,0,,id:118 Inicio:18:42:59 Demora:00:01:01 Estado:Finalizado Doc:Microsoft·Word·-·Lípidos.docx Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:4 Total Hojas:4 Tamaño:20741176
294,502,190402.log,18:44:12,Venta de Extra,1,,,,,10,,,0,,1  Varios
295,502,190402.log,18:44:12,Cobro de PC,1,18:03:20,18:44:12,0:40:01,6.5,10,16.5,16.5,0,, 
296,,190402.log,18:52:46,Impresión,,,,,,,,,0,,id:119 Inicio:18:52:33 Demora:00:00:13 Estado:Finalizado Doc:Microsoft·Word·-·2-Solicitud-de-servicio-Social-estudiante.docx Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:2100236
297,,190402.log,19:02:53,Impresión,,,,,,,,,0,,id:120 Inicio:19:02:14 Demora:00:00:39 Estado:Finalizado Doc:Microsoft·Word·-·QUE·SON·YOUTUBERS.docx Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:5 Total Hojas:5 Tamaño:29685364
298,,190402.log,19:04:51,Impresión,,,,,,,,,0,,id:121 Inicio:19:03:15 Demora:00:01:36 Estado:Finalizado Doc:Microsoft·Word·-·QUE·SON·YOUTUBERS.docx Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:5 Total Hojas:5 Tamaño:25666292
299,503,190402.log,19:05:31,Venta de Extra,9,,,,,10,,,0,,1  Varios
300,503,190402.log,19:05:31,Cobro de PC,9,18:12:45,19:05:31,0:52:33,9,10,19,19,0,, 
301,504,190402.log,19:07:17,Cobro de PC,1,18:45:31,19:07:17,0:21:30,3.5,0,3.5,3.5,0,, 
302,,190402.log,19:17:09,Impresión,,,,,,,,,0,,id:122 Inicio:19:16:30 Demora:00:00:39 Estado:Finalizado Doc:CURP_JUTL951217MPLRRR08.pdf Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:3212840
303,,190402.log,19:17:23,Impresión,,,,,,,,,0,,id:123 Inicio:19:17:12 Demora:00:00:11 Estado:Finalizado Doc:CURP_JUTL951217MPLRRR08.pdf Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:3212816
304,,190402.log,19:17:58,Impresión,,,,,,,,,0,,id:124 Inicio:19:17:46 Demora:00:00:12 Estado:Finalizado Doc:CURP_JUTL951217MPLRRR08.pdf Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:96
305,,190402.log,19:18:30,Impresión,,,,,,,,,0,,id:125 Inicio:19:18:10 Demora:00:00:20 Estado:Finalizado Doc:CURP_JUTL951217MPLRRR08.pdf Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:96
306,,190402.log,19:29:43,Impresión,,,,,,,,,0,,id:126 Inicio:19:29:16 Demora:00:00:27 Estado:Finalizado Doc:comprobanteNSS.pdf Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:80
307,,190402.log,19:29:51,Impresión,,,,,,,,,0,,id:127 Inicio:19:29:39 Demora:00:00:12 Estado:Finalizado Doc:tarjetaNSS.pdf Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:2328720
308,,190402.log,20:07:09,Impresión,,,,,,,,,0,,id:128 Inicio:20:06:42 Demora:00:00:27 Estado:Finalizado Doc:CURP_SAGM030521MPLNTRA6.pdf Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:96
309,,190402.log,20:07:45,Impresión,,,,,,,,,0,,id:129 Inicio:20:07:23 Demora:00:00:22 Estado:Finalizado Doc:CURP_SAGM030521MPLNTRA6.pdf Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:96
310,,190402.log,20:08:38,Impresión,,,,,,,,,0,,id:130 Inicio:20:07:38 Demora:00:01:00 Estado:Finalizado Doc:CURP_SAGM030521MPLNTRA6.pdf Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:3218800
311,,190402.log,20:09:22,Cierre del Servidor,,,,,,,,,0,,
312,,190402.log,20:19:23,Arranque del Servidor,,,,,,,,,0,, 1.647b
313,,190402.log,20:20:03,Cierre del Servidor,,,,,,,,,0,,
314,,190402.log,20:20:03,Cierre del Servidor,,,,,,,,,0,,
315,,190403.log,17:53:04,Arranque del Servidor,,,,,,,,,0,, 1.647b
316,,190403.log,18:26:49,Impresión,,,,,,,,,0,,id:133 Inicio:18:22:17 Demora:00:04:32 Estado:Finalizado Doc:Microsoft·Word·-·Documento1 Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:14 Total Hojas:12 Tamaño:559527848
317,505,190403.log,19:01:35,Cobro de PC,8,18:12:32,19:01:35,0:49:01,8,0,8,8,0,, 
318,506,190403.log,19:17:58,Cobro de PC,1,17:53:08,19:17:58,1:17:40,13,0,13,13,0,, 
319,507,190403.log,19:19:28,Venta de Extra,3,,,,,0,,,0,,1  Varios
320,507,190403.log,19:19:28,Cobro de PC,3,18:41:49,19:19:28,0:37:32,6.5,0,6.5,6.5,0,, 
321,,190403.log,19:21:38,Impresión,,,,,,,,,0,,id:134 Inicio:19:20:32 Demora:00:01:06 Estado:Finalizado Doc:Microsoft·Word·-·1994·premios·de·octavio·paz.docx Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:4 Total Hojas:4 Tamaño:370928
322,,190403.log,19:30:24,Impresión,,,,,,,,,0,,id:135 Inicio:19:30:04 Demora:00:00:20 Estado:Finalizado Doc:Microsoft·Word·-·Documento1 Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:2 Total Hojas:2 Tamaño:1261024
323,508,190403.log,19:41:24,Cobro de PC,8,19:02:22,19:41:24,0:39:00,6.5,0,6.5,6.5,0,, 
324,,190403.log,19:56:40,Impresión,,,,,,,,,0,,id:136 Inicio:19:56:07 Demora:00:00:33 Estado:Finalizado Doc:Microsoft·Word·-·Documento1 Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:2 Total Hojas:2 Tamaño:1261024
325,,190403.log,20:00:48,Impresión,,,,,,,,,0,,id:137 Inicio:20:00:40 Demora:00:00:08 Estado:Finalizado Doc:Microsoft·Word·-·imprimir.docx Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:89000
326,,190403.log,20:01:14,Impresión,,,,,,,,,0,,id:138 Inicio:20:00:59 Demora:00:00:15 Estado:Finalizado Doc:Microsoft·Word·-·imprimir12.docx Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:3090828
327,509,190403.log,20:01:42,Venta de Extra,2,,,,,4,,,0,,1  Varios
328,509,190403.log,20:01:42,Cobro de PC,2,19:49:10,20:01:42,0:12:14,3,4,7,7,0,, 
329,,190403.log,21:04:18,Impresión,,,,,,,,,0,,id:139 Inicio:21:02:28 Demora:00:01:50 Estado:Finalizado Doc:Microsoft·Word·-·Documento1 Imp:EPSON·Color Usuario:Invitado PC:\\[fe80::c0a0:8e36:4712:d6d7] Hojas Impresas:6 Total Hojas:7 Tamaño:10940689
330,510,190403.log,21:29:57,Venta de Extra,1,,,,,13,,,0,,1  Varios
331,510,190403.log,21:29:57,Cobro de PC,1,19:45:27,21:29:57,1:43:43,17.5,13,30.5,30.5,0,, 
332,,190404.log,17:25:30,Arranque del Servidor,,,,,,,,,0,, 1.647b
333,511,190404.log,18:48:14,Cobro de PC,7,18:06:57,18:48:14,0:41:01,7,0,7,7,0,, 
334,,190404.log,18:58:05,Impresión,,,,,,,,,0,,id:140 Inicio:18:57:49 Demora:00:00:16 Estado:Finalizado Doc:Microsoft·Word·-·conectores.docx Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:6029312
335,512,190404.log,18:58:16,Cobro de PC,1,18:38:06,18:58:16,0:19:22,3,0,3,3,0,, 
336,,190404.log,20:11:55,Cierre del Servidor,,,,,,,,,0,,
337,,190404.log,20:11:55,Cierre del Servidor,,,,,,,,,0,,
338,,190405.log,18:02:21,Arranque del Servidor,,,,,,,,,0,, 1.647b
339,513,190405.log,19:03:26,Cobro de PC,8,18:03:09,19:03:26,1:00:00,10,0,10,10,0,, 
340,514,190405.log,19:17:31,Cobro de PC,1,18:56:32,19:17:31,0:20:27,3.5,0,3.5,3.5,0,, 
341,515,190405.log,19:19:20,Cobro de PC,2,19:01:13,19:19:20,0:18:02,3,0,3,3,0,, 
342,516,190405.log,19:19:27,Venta de Extra,3,,,,,0,,,0,,1  Varios
343,516,190405.log,19:19:27,Cobro de PC,3,19:01:12,19:19:27,0:18:12,3,0,3,3,0,, 
344,,190406.log,14:38:07,Arranque del Servidor,,,,,,,,,0,, 1.647b
345,517,190406.log,15:09:32,Cobro de PC,6,14:39:22,15:09:32,0:30:00,5,0,5,5,0,, 
346,518,190406.log,15:53:51,Cobro de PC,8,15:08:27,15:53:51,0:45:20,7.5,0,7.5,7.5,0,, 
347,519,190406.log,19:18:49,Cobro de PC,8,18:23:48,19:18:49,0:54:59,9,0,9,9,0,, 
348,,190406.log,19:22:06,Cierre del Servidor,,,,,,,,,0,,
349,,190406.log,19:22:06,Cierre del Servidor,,,,,,,,,0,,
350,,190407.log,13:02:11,Arranque del Servidor,,,,,,,,,0,, 1.647b
351,520,190407.log,14:35:17,Cobro de PC,6,13:34:41,14:35:17,1:00:00,10,0,10,10,0,, 
352,521,190407.log,15:48:32,Cobro de PC,8,14:38:53,15:48:32,0:28:00,4.5,0,4.5,4.5,0,, 
353,,190407.log,16:06:10,Impresión,,,,,,,,,0,,id:141 Inicio:16:05:25 Demora:00:00:45 Estado:Finalizado Doc:Microsoft·Word·-·Documento1 Imp:EPSON·Color Usuario:Invitado PC:\\192.168.80.50 Hojas Impresas:2 Total Hojas:1 Tamaño:723178
354,522,190407.log,16:18:29,Cobro de PC,8,15:48:36,16:18:29,0:29:00,5,0,5,5,0,, 
355,523,190407.log,17:06:43,Cobro de PC,9,16:18:37,17:06:43,0:47:54,8,0,8,8,0,, 
356,,190407.log,17:58:44,Impresión,,,,,,,,,0,,id:142 Inicio:17:58:17 Demora:00:00:27 Estado:Finalizado Doc:Microsoft·Word·-·SECANTE.docx Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:2 Total Hojas:2 Tamaño:2162688
357,524,190407.log,18:50:38,Venta de Extra,3,,,,,0,,,0,,1  Varios
358,524,190407.log,18:50:38,Cobro de PC,3,18:37:36,18:50:38,0:13:01,3,0,3,3,0,, 
359,525,190407.log,19:11:51,Cobro de PC,8,18:37:37,19:11:51,0:34:05,5.5,0,5.5,5.5,0,, 
360,526,190407.log,19:11:54,Cobro de PC,6,18:37:57,19:11:54,0:31:00,5,0,5,5,0,, 
361,527,190407.log,19:14:19,Venta de Extra,3,,,,,0,,,0,,1  Varios
362,527,190407.log,19:14:19,Cobro de PC,3,18:59:42,19:14:19,0:14:20,3,0,3,3,0,, 
363,,190407.log,20:04:02,Impresión,,,,,,,,,0,,id:143 Inicio:20:03:41 Demora:00:00:21 Estado:Finalizado Doc:Microsoft·Word·-·Documento2 Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:1089340
364,,190407.log,20:14:49,Impresión,,,,,,,,,0,,id:144 Inicio:20:04:45 Demora:00:10:04 Estado:Finalizado Doc:Microsoft·Word·-·Documento2 Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:2162688
365,528,190407.log,20:16:50,Cobro de PC,1,17:38:15,20:16:50,2:38:34,26.5,0,26.5,26.5,0,, 
366,529,190407.log,20:16:53,Cobro de PC,2,17:38:15,20:16:53,2:38:37,26.5,0,26.5,26.5,0,, 
367,,190407.log,22:38:40,Cierre del Servidor,,,,,,,,,0,,
368,,190407.log,22:38:40,Cierre del Servidor,,,,,,,,,0,,
369,,190408.log,17:43:38,Arranque del Servidor,,,,,,,,,0,, 1.647b
370,,190408.log,17:59:01,Impresión,,,,,,,,,0,,id:146 Inicio:17:58:10 Demora:00:00:51 Estado:Finalizado Doc:Microsoft·Word·-·La.docx Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:2 Tamaño:4322488
371,530,190408.log,17:59:29,Venta de Extra,3,,,,,6,,,0,,1  Varios
372,530,190408.log,17:59:29,Cobro de PC,3,17:43:47,17:59:29,0:15:28,3,6,9,9,0,, 
373,,190408.log,20:12:40,Impresión,,,,,,,,,0,,id:147 Inicio:20:10:20 Demora:00:02:20 Estado:Finalizado Doc:Microsoft·Word·-·JClic.docx Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:6 Total Hojas:6 Tamaño:17992740
374,531,190408.log,20:13:31,Venta de Extra,1,,,,,12,,,0,,1  Varios
375,531,190408.log,20:13:31,Cobro de PC,1,19:08:48,20:13:31,1:02:19,10.5,12,22.5,22.5,0,, 
376,,190408.log,20:33:36,Impresión,,,,,,,,,0,,id:148 Inicio:20:32:58 Demora:00:00:38 Estado:Finalizado Doc:Microsoft·Word·-·Documento1 Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:2 Total Hojas:2 Tamaño:524288
377,,190408.log,20:37:10,Impresión,,,,,,,,,0,,id:149 Inicio:20:36:54 Demora:00:00:16 Estado:Finalizado Doc:Microsoft·Word·-·Documento1 Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:131072
378,,190408.log,20:39:22,Impresión,,,,,,,,,0,,id:150 Inicio:20:39:06 Demora:00:00:16 Estado:Finalizado Doc:Microsoft·Word·-·Documento2 Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:1 Total Hojas:1 Tamaño:67156
379,,190408.log,20:39:54,Cierre del Servidor,,,,,,,,,0,,
380,,190408.log,20:39:54,Cierre del Servidor,,,,,,,,,0,,
381,,190409.log,16:12:01,Arranque del Servidor,,,,,,,,,0,, 1.647b
382,532,190409.log,16:44:25,Cobro de PC,6,16:13:16,16:44:25,0:30:00,5,0,5,5,0,, 
383,533,190409.log,17:15:11,Cobro de PC,6,16:44:27,17:15:11,0:30:00,5,0,5,5,0,, 
384,,190409.log,18:27:15,Impresión,,,,,,,,,0,,id:151 Inicio:18:26:11 Demora:00:01:04 Estado:Finalizado Doc:Microsoft·Word·-·Documento2 Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:4 Total Hojas:4 Tamaño:21996360
385,,190409.log,18:36:22,Impresión,,,,,,,,,0,,id:152 Inicio:18:35:38 Demora:00:00:44 Estado:Finalizado Doc:Microsoft·Word·-·derechos.docx Imp:EPSON·Color Usuario:SERVIDOR PC:\\SERVIDOR-PC Hojas Impresas:8 Total Hojas:8 Tamaño:257612
386,534,190409.log,18:37:00,Venta de Extra,3,,,,,8,,,0,,1  Varios
387,534,190409.log,18:37:00,Cobro de PC,3,17:59:19,18:37:00,0:37:32,6.5,8,14.5,14.5,0,, 
